"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 02 12:55:24 GMT 2024","Sun Jun 02 12:55:24 GMT 2024","164","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIdLongerThanMaxLengthShouldNotBeCreated","projectWithIdLongerThanMaxLengthShouldNotBeCreated",""
"passed","Sun Jun 02 12:55:41 GMT 2024","Sun Jun 02 12:55:52 GMT 2024","10912","UI Suite","UI Test","com.teamcity.ui.CreateNewBuildTest","com.teamcity.ui.CreateNewBuildTest","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject","projectAdminShouldBeAbleToCreateNewBuildConfigurationForProject",""
"passed","Sun Jun 02 12:55:27 GMT 2024","Sun Jun 02 12:55:27 GMT 2024","83","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithoutProjectShouldNotBeCreated","buildConfigurationWithoutProjectShouldNotBeCreated",""
"passed","Sun Jun 02 12:55:24 GMT 2024","Sun Jun 02 12:55:24 GMT 2024","132","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialCharactersInIDShouldNotBeCreated","projectWithSpecialCharactersInIDShouldNotBeCreated",""
"failed","Sun Jun 02 12:55:21 GMT 2024","Sun Jun 02 12:55:21 GMT 2024","405","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"passed","Sun Jun 02 12:55:21 GMT 2024","Sun Jun 02 12:55:22 GMT 2024","204","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"passed","Sun Jun 02 12:55:22 GMT 2024","Sun Jun 02 12:55:22 GMT 2024","127","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"passed","Sun Jun 02 12:55:23 GMT 2024","Sun Jun 02 12:55:23 GMT 2024","175","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingNameShouldNotBeCreated","projectWithAlreadyExistingNameShouldNotBeCreated",""
"passed","Sun Jun 02 12:55:22 GMT 2024","Sun Jun 02 12:55:22 GMT 2024","261","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithAlreadyExistingIdShouldNotBeCreated","projectWithAlreadyExistingIdShouldNotBeCreated",""
"failed","Sun Jun 02 12:55:27 GMT 2024","Sun Jun 02 12:55:41 GMT 2024","13598","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProject","authorizedUserShouldBeAbleToCreateNewProject",""
"passed","Sun Jun 02 12:55:26 GMT 2024","Sun Jun 02 12:55:26 GMT 2024","163","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithIDLongerThanMaxLengthShouldNotBeCreated","buildConfigurationWithIDLongerThanMaxLengthShouldNotBeCreated",""
"passed","Sun Jun 02 12:55:23 GMT 2024","Sun Jun 02 12:55:23 GMT 2024","167","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated","projectWithIDThatStartsWithNonLatinCharacterShouldNotBeCreated",""
"passed","Sun Jun 02 12:55:25 GMT 2024","Sun Jun 02 12:55:25 GMT 2024","130","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithSpecialSymbolsInNameCanBeCreated","projectWithSpecialSymbolsInNameCanBeCreated",""
"passed","Sun Jun 02 12:55:15 GMT 2024","Sun Jun 02 12:55:20 GMT 2024","5173","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"passed","Sun Jun 02 12:55:26 GMT 2024","Sun Jun 02 12:55:26 GMT 2024","117","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Sun Jun 02 12:54:23 GMT 2024","Sun Jun 02 12:55:03 GMT 2024","39975","Surefire suite","Surefire test","com.teamcity.ui.SetupAgentTest","com.teamcity.ui.SetupAgentTest","startUpAgentTest","startUpAgentTest",""
"passed","Sun Jun 02 12:55:26 GMT 2024","Sun Jun 02 12:55:27 GMT 2024","140","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigurationWithSpecialSymbolsInNameCanBeCreated","buildConfigurationWithSpecialSymbolsInNameCanBeCreated",""
"passed","Sun Jun 02 12:52:16 GMT 2024","Sun Jun 02 12:53:13 GMT 2024","57099","Surefire suite","Surefire test","com.teamcity.ui.SetupTest","com.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"passed","Sun Jun 02 12:55:25 GMT 2024","Sun Jun 02 12:55:25 GMT 2024","98","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","projectWithValidIdWithMaxLengthCanBeCreated","projectWithValidIdWithMaxLengthCanBeCreated",""
